iso3,lag0,lag1,lag2,lag3,lag4,lag5,lag6
ARGENTINA,0.10127902969534151,0.1066545290372352,0.10656691991116744,0.10509764605013931,0.10469628548237601,0.12699109078264872,0.13194996214223337
AUSTRIA,0.06546041420745331,0.063910714749825,0.0637129050903625,0.06160852637046374,0.060930604433117964,0.06947069964623924,0.0805705704758868
BANGLADESH,0.15915429202458817,0.16066642640120993,0.1604095622474834,0.15966135538762138,0.16076567056612265,0.16792463765897983,0.17252898895583643
BELGIUM,0.09928829665022444,0.09982041125016664,0.09975989572668988,0.0987934477349099,0.09987266461390569,0.10987440418952635,0.11274309102614222
BRAZIL,0.09278233564806693,0.09394275985819031,0.09376826251633445,0.0962260574565835,0.09794684886710221,0.10821597779171609,0.1128570531320728
CAMBODIA,0.16029460579846805,0.16093019855175947,0.160786009105881,0.17241910100629193,0.17464313079753102,0.17033485265197826,0.17473074805628025
CANADA,0.1690316991805228,0.17177466822268353,0.17155821794345794,0.17260591406066497,0.17364822640321012,0.1784728700566612,0.18293379335098114
CHILE,0.05751193937360101,0.06670587507120039,0.06655676901433943,0.06759204926685934,0.06842902570959397,0.06902713329948822,0.07628388624348245
CHINA,0.1732564205632537,0.173086566632091,0.17371726890712486,0.1737988412536538,0.17545391564608828,0.18197199445764536,0.18206320580157803
COLOMBIA,0.0957463937831115,0.1020854689589821,0.1023398375326988,0.09737846691991786,0.09933362796970747,0.11115228549221857,0.11518754870793123
DENMARK,0.12856205726040498,0.13013539789053977,0.13002975769471561,0.1304412615747002,0.13095602296127434,0.1394341548033526,0.14142422999485554
FIJI,0.15436120128767766,0.15484927179860158,0.15470871605865053,0.16097662900654952,0.16208112193023583,0.16259599487812523,0.16178551641537783
FINLAND,0.12486179230185412,0.1284224296123196,0.12831630131843266,0.13397345175866657,0.13565987398957954,0.14842567107447127,0.16081706131464285
FRANCE,0.15496016584654396,0.15873501341308843,0.15861197343889835,0.16198062757235515,0.16386149108481554,0.16850719253716104,0.17273861932840895
GERMANY,0.1932812684565717,0.19301293554031895,0.19293277778259918,0.19412101948531668,0.19463545339307503,0.19540694868911726,0.19667004104869887
INDIA,0.18609293908970498,0.18733925361714224,0.18724726648878906,0.1900134808417214,0.19147956889025064,0.19529366774052623,0.20055919674342096
INDONESIA,0.19540590229730587,0.19731265391757816,0.19723911219647589,0.198049718529612,0.19859837443434833,0.2020409153531958,0.2066595030412165
IRELAND,0.17253523760209305,0.17098345746812074,0.1710798599413612,0.17207277282183722,0.17245987836100068,0.17079756333060883,0.170080667684248
ISRAEL,0.012854371160710195,0.008347573363531598,0.008085401416358601,0.0042643609666614315,0.006403448725361603,-0.000346319191845348,-0.0016960079683471531
ITALY,0.14795129986299346,0.14914055531789988,0.1489913842547418,0.15037565591274962,0.1508589863280274,0.15628372762793374,0.15576581560104197
JAPAN,0.1008550255036813,0.10136471932177324,0.10118291119054945,0.1038611591939636,0.10434033882543799,0.1151434105035675,0.11396096714487128
MALAYSIA,0.1779557312848732,0.18011275908365407,0.18064675807392316,0.18190961626734933,0.18408352439584985,0.19051901312321912,0.19028056507311886
MEXICO,0.09240992005344112,0.09394947988385184,0.09404439504381913,0.10174097215512276,0.1036115787048599,0.11696284928202431,0.12380176981545753
NEPAL,0.1818026526347564,0.18453186348827688,0.18422378078176965,0.18388444416530503,0.1879632821191892,0.2112048104453722,0.21975255579895858
NETHERLANDS,0.13310007931763884,0.1351592361864435,0.13507215911204548,0.1361305238929261,0.1364185136015989,0.14075649433422546,0.13787389804741487
NEW CALEDONIA,0.06356705132299816,0.06362675072050743,0.06360056488682973,0.0545762527377592,0.05509210209576898,0.05389549722996565,0.051321803828058815
NEW ZEALAND,0.04868381136813907,0.05007750656002713,0.04988996581718207,0.0502876055230706,0.0513457861365875,0.06015075754142539,0.05836448478941776
NORWAY,0.1560451686869206,0.15287472817878972,0.1527462678527559,0.15735122642161606,0.15656638211348958,0.15373610880887187,0.1560542375539212
PAKISTAN,0.09399502803751074,0.09725125308632122,0.09721641562274236,0.09614465180499057,0.09792560648992843,0.0999000752047823,0.09981481138123197
PAPUA NEW GUINEA,0.08046832694769042,0.07844878326583937,0.0784635026206799,0.07949813504006732,0.08214055250666538,0.09380409252883916,0.09644566284682823
PHILIPPINES,0.11036166856270614,0.10869837633031584,0.10854160899472225,0.11692635851135565,0.1165626141010359,0.11931916381837493,0.12584975840359322
POLAND,0.0729105805796415,0.07258047770353201,0.07278223907255843,0.0741565426780528,0.0752543086631704,0.080537386060966,0.07786615560818069
RUSSIAN FEDERATION,0.08346260821013796,0.08115143261158696,0.08077879601541858,0.0825316797587798,0.08618248327225758,0.08961320593011426,0.08693876960963323
SAUDI ARABIA,0.05938598089189935,0.05788573404330178,0.058239228037919234,0.05774688906455364,0.06043328519333929,0.0733449282360522,0.08709075919395333
SINGAPORE,0.16656906298031277,0.1696196761540545,0.17002760552238125,0.16686684060180018,0.166914982198415,0.17913817445613614,0.1832911622779525
SOUTH AFRICA,0.17518482882783507,0.17576796206766152,0.17568446729339937,0.1781396294480568,0.1784965942153147,0.18137167118009362,0.17924487944482193
SPAIN,0.17743562751274103,0.1790373245851368,0.17901165353144438,0.1831918545964534,0.1836429094745053,0.19394490396027414,0.1955399682116194
SRI LANKA,0.14695427453332716,0.15333397624838094,0.15327072352167082,0.15419517043304648,0.1554199098328936,0.15971388026858435,0.1666471957703477
SWEDEN,0.12504235861977797,0.123778004024925,0.12367095984458465,0.126604174097252,0.1277600637599183,0.13484572359562286,0.13819930684943496
SWITZERLAND,0.21422330508516185,0.21623389604289056,0.21616290165056093,0.2176773192853085,0.21811786653801898,0.2169642539145235,0.22608776926929494
THAILAND,0.12736990864718054,0.1293199947774426,0.12900609549007264,0.12937440231843358,0.1302707484322502,0.14479207359846633,0.14181882988207
UNITED ARAB EMIRATES,0.11504694707881576,0.11408424248972433,0.11393306560187257,0.10899487348007854,0.11142740111169674,0.11992165882670588,0.1144284749887745
VANUATU,0.0741777600548158,0.08112576218272666,0.08240319132722675,0.07937143032381706,0.07872529148166156,0.07638882185732795,0.07364742579695159
